Ottawa Senators©=GOAL|Toronto Maple Leafs=G_ALLOWED|Protiútoky gól po obstojnej nahrávke - --Jakub Štěpán - 1:0 !!--(Zianon  Kaviarnia, Radek Bednařík)
New York Islanders™=GOAL|Philadelphia Flyers ®=G_ALLOWED|--Dobromír Lipiansky - 2:0 !!--(Brian Keen)
Philadelphia Flyers ®=PIM|New York Islanders™=POWERPLAY|vylúčenie hráča - Silvio Ottenburg4 proti 5
New York Islanders™=GOAL|Philadelphia Flyers ®=G_ALLOWED|--Dobromír Lipiansky - 3:0 !!--(Ivo Župarić, Osvald Wille)
New York Islanders™=GOAL|Philadelphia Flyers ®=G_ALLOWED|Krátke prihrávky --Dobromír Lipiansky - 4:0 !!--(Ivo Župarić)
Philadelphia Flyers ®=PIM|New York Islanders™=POWERPLAY|vylúčenie hráča - Hugo Zacher4 proti 5
New York Islanders™=GOAL|Philadelphia Flyers ®=G_ALLOWED|--Ivo Župarić - 5:0 !!--PP!!--(Demian Baláži, Dobromír Lipiansky)
New York Islanders™=GOAL|Philadelphia Flyers ®=G_ALLOWED|Krátke prihrávky gól po geniálnej nahrávke - --Ulrich Bernas - 6:0 !!--(Jan Prchal, Márius Michaeli)
New York Islanders™=GOAL|Philadelphia Flyers ®=G_ALLOWED|Krátke prihrávky Dorážka, gól po geniálnej nahrávke - --Andreas Syrstad - 7:0 !!--(Demian Baláži, Johann Ciesla)
New York Islanders™=PIM|Philadelphia Flyers ®=POWERPLAY|vylúčenie hráča - Ivo Župarić4 proti 5
New York Islanders™=GOAL|Philadelphia Flyers ®=G_ALLOWED|gól po perfektnej nahrávke - --Ivo Župarić - 8:0 !!--(Dobromír Lipiansky, Brian Keen)
New York Islanders™=GOAL|Philadelphia Flyers ®=G_ALLOWED|Krátke prihrávky gól po perfektnej nahrávke - --Jan Prchal - 9:0 !!--(Márius Michaeli)
New York Islanders™=GOAL|Philadelphia Flyers ®=G_ALLOWED|Krátke prihrávky gól po geniálnej nahrávke - --Ulrich Bernas - 10:0 !!--(Jan Prchal)
