16:44:02 10.02.2013|66.249.78.175|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
16:43:58 10.02.2013|66.249.78.175|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
16:43:53 10.02.2013|66.249.78.3|player_stats.php|&pos=points&name=Jarmo Saarij--rvi&id_player=18116026&s=29||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
16:43:52 10.02.2013|66.249.78.175|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
16:43:48 10.02.2013|66.249.75.175|stats.php|&s=14&pos=goalies&type=reg&team=stl&sort=&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
16:43:46 10.02.2013|66.249.75.175|stats.php|&s=03&pos=goalies&type=reg&team=lak&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
16:43:44 10.02.2013|66.249.75.175|stats.php|&s=15&pos=all&type=reg&team=nas&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
16:43:39 10.02.2013|66.249.78.175|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
16:43:27 10.02.2013|66.249.78.175|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
16:43:23 10.02.2013|66.249.75.3|player_stats.php|&pos=points&name=Rami Piik&id_player=29517503&s=29||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
16:43:12 10.02.2013|66.249.78.175|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
16:43:11 10.02.2013|66.249.75.175|stats.php|&s=14&pos=goalies&type=reg&team=bos&sort=&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
16:43:09 10.02.2013|66.249.78.3|player_stats.php|&pos=points&name=Zlatko Vr--bel&id_player=30601494&s=30||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
16:43:07 10.02.2013|66.249.78.3|player_stats.php|&pos=points&name=Isto Latukka&id_player=17817477&s=30||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
16:43:05 10.02.2013|66.249.78.175|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
16:43:01 10.02.2013|66.249.78.3|player_stats.php|&pos=points&name=Robin Pelik--n&id_player=11980478&s=25||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
16:42:44 10.02.2013|66.249.75.3|player_stats.php|&pos=points&name=Gustav Malkakorpi&id_player=21307734&s=30||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
16:42:43 10.02.2013|66.249.75.175|player_stats.php|&pos=points&name=Kalle Badelt&id_player=28123907&s=25||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
16:42:38 10.02.2013|66.249.78.175|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
