13:59:17 12.02.2013|66.249.78.181|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
13:59:10 12.02.2013|66.249.78.204|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
13:59:08 12.02.2013|66.249.75.39|stats.php|&s=18&pos=points&type=reg&team=phi&sort=pim&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
13:59:07 12.02.2013|66.249.78.188|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
13:59:06 12.02.2013|66.249.78.199|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
13:59:03 12.02.2013|66.249.75.194|manager_stats.php|&manager=Zoidberg||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
13:58:58 12.02.2013|66.249.78.203|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
13:58:37 12.02.2013|66.249.78.27|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
13:58:33 12.02.2013|66.249.75.202|schedule.php|&s=16&type=reg&team=van||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
13:58:29 12.02.2013|66.249.78.167|schedule.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
13:58:28 12.02.2013|66.249.78.217|teams_compare.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
13:58:17 12.02.2013|66.249.75.172|teams_compare.php|&team1=tor&team2=nyr||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
13:58:16 12.02.2013|66.249.75.205|teams_compare.php|&team1=phx&team2=col||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
